"cnpj","nome","endereco","complemento","bairro","cep","municipio","uf","pais","ddd","numero","cod_compe_s_dv","x12"
"7509426","PAC BOM JESUS SC","RUA JUVENA BANDEIRA, 685","-","CENTRO","89824-000","BOM JESUS","SC","Brasil","-","-","-",NA
"7509426","PAC ENTRE RIOS SC","RUA 19 DE JULHO, 800","-","CENTRO","89862-000","ENTRE RIOS","SC","Brasil","49","33510223","-",NA
"7509426","PAC FAXINAL DOS GUEDES","AV DARCY SARMANHO VARGAS, 332","SALA","CENTRO","89694-000","FAXINAL DOS GUEDES","SC","Brasil","49","34360105","-",NA
"7509426","PAC IPUACU","RUA ZANELLA, 760","-","CENTRO","89832-000","IPUACU","SC","Brasil","49","34490405","-",NA
"7509426","PAC XANXERÊ","RUA VICTOR KONDER, 301","-","CENTRO","89820-000","XANXERE","SC","Brasil","49","34339924","-",NA
"2844024","CONECTA EVOLUÇÃO","RUA SETE DE SETEMBRO, 1003","SALA 02","CENTRO","89950-000","DIONISIO CERQUEIRA","SC","Brasil","80","6424800","-",NA
"2844024","PAC ANCHIETA SC","RUA VEREADOR GERALDO GARLET, 133","SALA COMERCIAL 1","CENTRO","89970-000","ANCHIETA","SC","Brasil","49","36530495","-",NA
"2844024","PAC DESCANSO","AVENIDA MARTINS PIASESKI, 456","-","CENTRO","89910-000","DESCANSO","SC","Brasil","49","36230776","-",NA
"2844024","PAC DIONÍSIO CERQUEIRA B. CENTRO","RUA 7 DE SETEMBRO, 1003","SALA 01","CENTRO","89950-000","DIONISIO CERQUEIRA","SC","Brasil","49","36441911","-",NA
"2844024","PAC DIONÍSIO CERQUEIRA B. CENTRO II","AVENIDA PARANA, 206","-","CENTRO","89950-000","DIONISIO CERQUEIRA","SC","Brasil","49","36441911","-",NA
"2844024","PAC GUARACIABA SC","RUA TREZE DE MAIO, 128","SALA 01","CENTRO","89920-000","GUARACIABA","SC","Brasil","49","36450980","-",NA
"2844024","PAC GUARUJÁ DO SUL","AVENIDA JOAO PESSOA, 940","SALA 102","CENTRO","89940-000","GUARUJA DO SUL","SC","Brasil","49","36420068","-",NA
"2844024","PAC IPORÃ DO OESTE","AVENIDA GUSTAVO FETTER, 1253","SALA 01","CENTRO","89899-000","IPORA DO OESTE","SC","Brasil","49","36341095","-",NA
"2844024","PAC MONDAÍ","AVENIDA DO ENGENHO, 120","SALA 03","CENTRO","89893-000","MONDAI","SC","Brasil","80","6424800","-",NA
"2844024","PAC PALMA SOLA","AVENIDA CRESTANI, 895","-","CENTRO","89985-000","PALMA SOLA","SC","Brasil","49","36520461","-",NA
"2844024","PAC PRINCESA","RUA RIO GRANDE DO SUL, 577","-","CENTRO","89935-000","PRINCESA","SC","Brasil","49","36410334","-",NA
"2844024","PAC SÃO JOÃO DO OESTE","RUA ENCANTADO, 288","SALA 04","CENTRO","89897-000","SAO JOAO DO OESTE","SC","Brasil","49","36441911","-",NA
"7320890","PA CONECTA VALE","R SANTA CATARINA, 2180","SALA 03","CENTRO","89148-000","VITOR MEIRELES","SC","Brasil","47","32580242","-",NA
"7320890","PA ITAIOPOLIS","RUA NEREU RAMOS, 287","SALA 01","CENTRO","89340-000","ITAIOPOLIS","SC","Brasil","47","36521726","-",NA
"7320890","PA MOEMA","ROD SC 477","-","MOEMA","89340-000","ITAIOPOLIS","SC","Brasil","47","32580242","-",NA
"7320890","PA PAPANDUVA","RUA TENENTE ARY RAUEN, 439","-","CENTRO","89370-000","PAPANDUVA","SC","Brasil","47","36531813","-",NA
"7320890","PA RIO DA ANTA","VILA RIO DA ANTA","S/N","RIO DA ANTA","89199-000","SANTA TEREZINHA","SC","Brasil","47","32580242","-",NA
"7320890","PA RIO DO CAMPO","RUA 29 DE DEZEMBRO, 110","SALA 01","CENTRO","89198-000","RIO DO CAMPO","SC","Brasil","47","35640007","-",NA
"7320890","PA SANTA TEREZINHA","RUA BRUNO PIECZARKA, 437","-","CENTRO","89199-000","SANTA TEREZINHA","SC","Brasil","47","35560030","-",NA
"7320890","PA VITOR MEIRELES","RUA SANTA CATARINA, 2180","SALA 01","CENTRO","89148-000","VITOR MEIRELES","SC","Brasil","47","32580242","-",NA
"4565791","CRESOL PA ARATIBA","RUA SANTO GRANZOTTO, 154","LOJA 2","CENTRO","99770-000","ARATIBA","RS","Brasil","-","-","-",NA
"4565791","CRESOL PA BARRA D R AZUL","RUA DAS ROSAS, 234","-","CENTRO","99795-000","BARRA DO RIO AZUL","RS","Brasil","54","36131231","-",NA
"4565791","CRESOL PA BARROS CASSAL","RUA CEFERINO BARBOSA, 320","SALA 1","CENTRO","99360-000","BARROS CASSAL","RS","Brasil","-","-","-",NA
"4565791","CRESOL PA MARIANO MORO","RUA RIO BRANCO, 54","-","CENTRO","99790-000","MARIANO MORO","RS","Brasil","54","35241278","-",NA
"4565791","CRESOL PA SEVERIANO D ALM","AVENIDA BRASIL, 198","-","CENTRO","99810-000","SEVERIANO DE ALMEIDA","RS","Brasil","54","35251324","-",NA
"2904125","CRESOL PA AGUDO","RUA MARECHAL FLORIANO, 480","-","CENTRO","96540-000","AGUDO","RS","Brasil","55","32651989","-",NA
"2904125","CRESOL PA ARROIO DO TIGRE","RUA 25 DE JULHO, 122","SALA 01","CENTRO","96950-000","ARROIO DO TIGRE","RS","Brasil","-","-","-",NA
"2904125","CRESOL PA CAMPINAS DO SUL","AVENIDA MAURICIO CARDOSO, 647","SALA 01","CENTRO","99660-000","CAMPINAS DO SUL","RS","Brasil","54","33661689","-",NA
"2904125","CRESOL PA CRUZALTENSE","AVENIDA PEDRO ALVARES CABRAL, 301","-","CENTRO","99665-000","CRUZALTENSE","RS","Brasil","54","36136225","-",NA
"2904125","CRESOL PA FAXINAL DO SOTURNO","RUA DUQUE DE CAXIAS, 683","-","CENTRO","97220-000","FAXINAL DO SOTURNO","RS","Brasil","55","32632054","-",NA
"2904125","CRESOL PA IVORA","AVENIDA PINTO BANDEIRA, 983","-","CENTRO","98160-000","IVORA","RS","Brasil","55","32671181","-",NA
"2904125","CRESOL PA JACUTINGA","AVENIDA LUIZ PISSETTI, 110","SALA 2","CENTRO","99730-000","JACUTINGA","RS","Brasil","54","33681110","-",NA
"2904125","CRESOL PA NOVA PALMA","RUA RAIMUNDO ALESSIO, 813","-","CENTRO","97250-000","NOVA PALMA","RS","Brasil","55","32661023","-",NA
"2904125","CRESOL PA NOVO CABRAIS","RUA RODOLFO GERMANO DRESSLER, 1065","TÉRREO","CENTRO","96545-000","NOVO CABRAIS","RS","Brasil","-","-","-",NA
"2904125","CRESOL PA PARAÍSO DO SUL","AVENIDA MAX RATZLAFF, 110","-","CENTRO","96530-000","PARAISO DO SUL","RS","Brasil","55","32621260","-",NA
"2904125","CRESOL PA PONTE PRETA","AVENIDA SEVERINO SENHORI, 301","-","CENTRO","99735-000","PONTE PRETA","RS","Brasil","54","35680041","-",NA
"2904125","CRESOL PA QUATRO IRMÃOS","RUA DAVID JOVELEVITCH, 236","-","CENTRO","99720-000","QUATRO IRMAOS","RS","Brasil","54","36141088","-",NA
"2904125","CRESOL PA RESTINGA SECA","AVENIDA ALBERTO PASQUALINI, 298","-","CENTRO","97200-000","RESTINGA SECA","RS","Brasil","55","32612334","-",NA
"2904125","PA SEGREDO","RUA DOS IMIGRANTES, 0885","-","CENTRO","96910-000","SEGREDO","RS","Brasil","-","-","-",NA
"2904125","PA SOBRADINHO","AVENIDA JOÃO ANTONIO, 575","SALA 101","CENTRO","96900-000","SOBRADINHO","RS","Brasil","51","997441358","-",NA
"3015152","CRESOL PA BENJAMIN C D SL","AVENIDA ERNESTO GABOARDI, 921","-","CENTRO","99650-000","BENJAMIN CONSTANT DO SUL","RS","Brasil","54","36132217","-",NA
"3015152","CRESOL PA ERVAL GRANDE","AVENIDA CAPITÃO BATISTA GRANDO, 477","-","CENTRO","99750-000","ERVAL GRANDE","RS","Brasil","54","33751471","-",NA
"3015152","CRESOL PA FAXINALZINHO","AVENIDA LIDO ARMANDO OLTRAMARI, 1117","-","CENTRO","99655-000","FAXINALZINHO","RS","Brasil","54","35461334","-",NA
"3015152","CRESOL PA NONOAI","RUA BORGES DE MEDEIROS, 551","SALA COMERCIAL","CENTRO","99600-000","NONOAI","RS","Brasil","54","33621085","-",NA
"3015152","CRESOL PA RIO DOS ÍNDIOS","RUA  VITORIO BRINGHENTI, 148","-","CENTRO","99610-000","RIO DOS INDIOS","RS","Brasil","-","-","-",NA
"3015152","CRESOL PA SÃO VALENTIM","AVENIDA CASTELO BRANCO, 739","SALA 1","CENTRO","99640-000","SAO VALENTIM","RS","Brasil","54","33731107","-",NA
"3015152","PA ITATIBA DO SUL","AVENIDA ANTONILO ANGELO TOZZO, 875","-","CENTRO","99760-000","ITATIBA DO SUL","RS","Brasil","-","-","-",NA
"3015152","PA MONTE ALEGRE DOS CAMPOS","AVENIDA PEDRO ZAMBAM, 907","-","CENTRO","95236-000","MONTE ALEGRE DOS CAMPOS","RS","Brasil","54","36121032","-",NA
"3015152","PA VACARIA","AVENIDA MOREIRA PAZ, 328","-","CENTRO","95200-016","VACARIA","RS","Brasil","-","-","-",NA
"5863726","CRESOL PA ANTONIO PRADO","AVENIDA VALDOMIRO BOCCHESE, 848","SALA 101","CENTRO","95250-000","ANTONIO PRADO","RS","Brasil","54","32933822","-",NA
"5863726","CRESOL PA BOA VISTA","VILA BOA VISTA, SN","-","6 DISTRITO","96170-000","SAO LOURENCO DO SUL","RS","Brasil","53","36118027","-",NA
"5863726","CRESOL PA CACIQUE DOBLE","RUA ANTONIO LUCHESE, 130","-","CENTRO","99860-000","CACIQUE DOBLE","RS","Brasil","54","35521149","-",NA
"5863726","CRESOL PA CAMAQUA","RUA MARECHAL FLORIANO, 402","-","CENTRO","96780-034","CAMAQUA","RS","Brasil","51","36710381","-",NA
"5863726","CRESOL PA CAMARGO","AVENIDA BRASIL, 1005","SALA 1","CENTRO","99165-000","CAMARGO","RS","Brasil","54","33571218","-",NA
"5863726","CRESOL PA CANGUCU","RUA JULIO DE CASTILHOS, 1079","-","CENTRO","96600-000","CANGUCU","RS","Brasil","53","32521080","-",NA
"5863726","CRESOL PA CONNECT","AVENIDA RIO BRANCO, 129","ANDAR 2 - SALA CONNECT","CENTRO","99840-000","SANANDUVA","RS","Brasil","-","-","-",NA
"5863726","CRESOL PA CRISTAL","RUA LAJEADO, 176","-","CENTRO","96195-000","CRISTAL","RS","Brasil","51","36781013","-",NA
"5863726","CRESOL PA DOM FELICIANO","AVENIDA CARLOS BARBOSA GONÇALVES, 375","-","CENTRO","96190-000","DOM FELICIANO","RS","Brasil","51","36771068","-",NA
"5863726","CRESOL PA ERNESTINA","RUA GUILHERME EDUARDO FETT, 3653","SALA 02","CENTRO","99140-000","ERNESTINA","RS","Brasil","54","33781030","-",NA
"5863726","CRESOL PA GUAPORE","RUA MANOEL FRANCISCO GUERREIRO, 1270","-","CENTRO","99200-000","GUAPORE","RS","Brasil","54","34431799","-",NA
"5863726","CRESOL PA IPE","RUA ALCIDES FOREST, 1503","-","CENTRO","95240-000","IPE","RS","Brasil","54","32331325","-",NA
"5863726","CRESOL PA NOVA ARACA","RUA ALEXANDRE GAZZONI, 129","SALA 101","CENTRO","95350-000","NOVA ARACA","RS","Brasil","54","32751211","-",NA
"5863726","CRESOL PA NOVA BASSANO","RUA PINHEIRO MACHADO, 1080","-","CENTRO","95340-000","NOVA BASSANO","RS","Brasil","54","32732156","-",NA
"5863726","CRESOL PA NOVA ROMA DO SUL","RUA  GREGORIO PANAZOLLO, 190","SALA 01","CENTRO","95260-000","NOVA ROMA DO SUL","RS","Brasil","-","-","-",NA
"5863726","CRESOL PA PARAÍ","RUA REINALDO CHERUBINI, 522","SALA 06","CENTRO","95360-000","PARAI","RS","Brasil","54","34771801","-",NA
"5863726","CRESOL PA PASSO FUNDO","RUA MORON, 1910","EDIFICIO PIAZZA SAN MARCO","CENTRO","99010-034","PASSO FUNDO","RS","Brasil","54","33129748","-",NA
"5863726","CRESOL PA SANANDUVA","AVENIDA DR. SALZANO DA CUNHA, 759","SALA TERREO","CENTRO","99840-000","SANANDUVA","RS","Brasil","54","33433387","-",NA
"5863726","CRESOL PA SANTA CECÍLIA DO SUL","RUA PORTO ALEGRE, 711","-","CENTRO","99952-000","SANTA CECILIA DO SUL","RS","Brasil","54","33433387","-",NA
"5863726","CRESOL PA SANTO A D PALMA","AVENIDA 20 DE MARÇO, 452","-","CENTRO","99265-000","SANTO ANTONIO DO PALMA","RS","Brasil","54","33941197","-",NA
"5863726","CRESOL PA SAO DOMINGOS DO SUL","AVENIDA LUIZ BENVEGNU, 156","-","CENTRO","99270-000","SAO DOMINGOS DO SUL","RS","Brasil","54","33491441","-",NA
"5863726","CRESOL PA SAO LOURENCO DO SUL","RUA MARIZ E BARROS, 1899","-","CENTRO","96170-000","SAO LOURENCO DO SUL","RS","Brasil","53","32512540","-",NA
"5863726","CRESOL PA SERAFINA CORRÊA","AV MIGUEL SOCCOL, 2998","SALA 101","CENTRO","99250-000","SERAFINA CORREA","RS","Brasil","54","34441734","-",NA
"5863726","CRESOL PA SOLEDADE","RUA CEL FALKEMBACH ESQ. COM RUA BENTO G, 999","SALA 01 E 02","CENTRO","99300-000","SOLEDADE","RS","Brasil","54","33812830","-",NA
"5863726","CRESOL PA TURUÇU","RUA ARTHUR LANGE, 72","-","CENTRO","96148-000","PELOTAS","RS","Brasil","53","30283298","-",NA
"5863726","PA DAVID CANABARRO","AVENIDA FABRICIO DE OLIVEIRA PILAR, 390","SALA 4","CENTRO","99980-000","DAVID CANABARRO","RS","Brasil","54","33433420","-",NA
"5863726","PA IBIAÇÁ","RUA MARECHAL CASTELO BRANCO, 576","-","CENTRO","99940-000","IBIACA","RS","Brasil","-","-","-",NA
"5863726","PA SANTA GEMA","AV MOSENHOR JOAO BENVEGNU, 178","SALA 01","SANTA GEMA","99270-000","SAO DOMINGOS DO SUL","RS","Brasil","54","36421452","-",NA
"5863726","PA VERA CRUZ","AV MOACIR DA MOTTA FORTES, 63","-","CENTRO","99040-010","PASSO FUNDO","RS","Brasil","54","33433420","-",NA
"7215632","CONECTA ALTERNATIVA","ALAMEDA ARISTILIANO RAMOS, 1144","SEGUNDO PISO","CENTRO","89160-113","RIO DO SUL","SC","Brasil","47","33000594","-",NA
"7215632","PAC APIÚNA","RUA JOINVILLE, 336","SALA 01","CENTRO","89135-000","APIUNA","SC","Brasil","47","33531852","-",NA
"7215632","PAC ASCURRA","AVENIDA BRASILIA, 389","SALA 02","CENTRO","89138-000","ASCURRA","SC","Brasil","-","-","-",NA
"7215632","PAC BENEDITO NOVO","RUA CELSO RAMOS, 4888","-","CENTRO","89124-000","BENEDITO NOVO","SC","Brasil","-","-","-",NA
"7215632","PAC BOCAIÚVA","RUA CONEGO MOREAU, 10","-","CENTRO","39390-000","BOCAIUVA","MG","Brasil","47","33003207","-",NA
"7215632","PAC CLARO DOS POÇOES","AVENIDA TANCREDO NEVES, 33","-","CENTRO","39380-000","CLARO DOS POCOES","MG","Brasil","47","33000594","-",NA
"7215632","PAC DOUTOR PEDRINHO","RUA BRASÍLIA, 307","SALA 01 E 02","CENTRO","89126-000","DOUTOR PEDRINHO","SC","Brasil","-","-","-",NA
"7215632","PAC INDAIAL","RODOVIA AUGUSTO HASSE, 960","SALA 03","CENTRO","89084-440","INDAIAL","SC","Brasil","-","-","-",NA
"7215632","PAC LONTRAS","RUA WILLY SCHROEDER, 513","-","CENTRO","89182-000","LONTRAS","SC","Brasil","47","35253831","-",NA
"7215632","PAC PARAOPEBA","AV GETULIO VARGAS, 52","-","CENTRO","35774-970","PARAOPEBA","MG","Brasil","47","33531852","-",NA
"7215632","PAC PIRAPORA","AV PIO XII, 886","-","SANTOS DUMONT","39274-158","PIRAPORA","MG","Brasil","47","33531852","-",NA
"7215632","PAC PRESIDENTE NEREU","AVENIDA DESEMBARGADOR ERICO TORRES, 350","SALA 01","CENTRO","89184-000","PRESIDENTE NEREU","SC","Brasil","47","33621020","-",NA
"7215632","PAC RIO DO SUL","ALAMEDA ARISTILIANO RAMOS, 1144","SEGUNDO PISO","CENTRO","89160-113","RIO DO SUL","SC","Brasil","47","33000594","-",NA
"7215632","PAC SETE LAGOAS","PRAÇA BARÃO DO RIO BRANCO, 58","-","CENTRO","35700-029","SETE LAGOAS","MG","Brasil","47","33000594","-",NA
"7215632","PAC SETE LAGOAS II","AVENIDA ANTÔNIO OLINTO, 609","-","CENTRO","35700-002","SETE LAGOAS","MG","Brasil","47","33000594","-",NA
"7215632","PAC VÁRZEA DA PALMA","RUA SALVADOR ROBERTO, 1450","LOJA","PROGRESSO","39260-000","VARZEA DA PALMA","MG","Brasil","47","33531852","-",NA
"7465539","CONECTA ALTO VALE","RUA SETE DE SETEMBRO, 1955","SALA 3","CENTRO","89157-000","WITMARSUM","SC","Brasil","47","33580331","-",NA
"7465539","PAC AGRONÔMICA","RUA QUINZE DE NOVEMBRO, 1014","SALA 01","CENTRO","89188-000","AGRONOMICA","SC","Brasil","47","35420588","-",NA
"7465539","PAC ARAQUARI","AVENIDA PREFEITO ALBERTO NATALINO MIQUEL, 6385","SALA 07","ITINGA","89245-000","ARAQUARI","SC","Brasil","-","-","-",NA
"7465539","PAC BALNEÁRIO BARRA DO SUL","AVENIDA AMANDIO CABRAL, 1090","SALA COMERCIAL","CENTRO","89247-000","BALNEARIO BARRA DO SUL","SC","Brasil","47","33580331","-",NA
"7465539","PAC CONSELHEIRO LAFAIETE","AVENIDA PREFEITO TELESFORO CANDIDO DE RE, 720","-","CENTRO","36400-053","CONSELHEIRO LAFAIETE","MG","Brasil","47","33580331","-",NA
"7465539","PAC CORUPÁ","RUA ROBERTO SEIDEL, 1717","-","SEMINáRIO","89278-000","CORUPA","SC","Brasil","-","-","-",NA
"7465539","PAC DIVINÓPOLIS","AVENIDA PRIMEIRO DE JUNHO, 274","LOJA","CENTRO","35500-002","DIVINOPOLIS","MG","Brasil","47","33580331","-",NA
"7465539","PAC FORMIGA","RUA BERNARDES DE FARIA, 03","LOJA 01","CENTRO","35570-024","FORMIGA","MG","Brasil","47","33580331","-",NA
"7465539","PAC ITAPOÁ","RUA ANA MARIA RODRIGUES DE FREITAS, 682","SALA","NOSSA SRA. APARECIDA","89249-000","ITAPOA","SC","Brasil","-","-","-",NA
"7465539","PAC JOSÉ BOITEUX","AVENIDA 26 DE ABRIL, 134","SALA 02","CENTRO","89145-000","JOSE BOITEUX","SC","Brasil","47","33527864","-",NA
"7465539","PAC MAFRA","AVENINDA FREDERICO HEYSE, 241","-","CENTRO","89300-000","MAFRA","SC","Brasil","47","36420371","-",NA
"7465539","PAC NOVA SERRANA","RUA PARÁ DE MINAS, 401","LOJA 03","CENTRO","35520-090","NOVA SERRANA","MG","Brasil","47","33580331","-",NA
"7465539","PAC OURO BRANCO","AVENIDA DA PATRIOTICA, 90","LOJA 01","SIDERURGIA","36492-258","OURO BRANCO","MG","Brasil","47","33580331","-",NA
"7465539","PAC POUSO REDONDO","RUA JORGE LACERDA, 162","-","CENTRO","89172-000","POUSO REDONDO","SC","Brasil","47","35451756","-",NA
"7465539","PAC RIO DO OESTE","RUA SETE DE SETEMBRO, 1296","SALA 01","CENTRO","89180-000","RIO DO OESTE","SC","Brasil","47","35430227","-",NA
"7465539","PAC SALETE","RUA LUIZ BERTOLLI, 805","-","CENTRO","89196-000","SALETE","SC","Brasil","47","35630767","-",NA
"7465539","PAC SÃO BENTO DO SUL","AVENIDA ARGOLO, 510","-","CENTRO","89180-040","SAO BENTO DO SUL","SC","Brasil","-","-","-",NA
"7465539","PAC TROMBUDO CENTRAL","RUA NEREU RAMOS, 1193","SALA 01","VILA NOVA","89176-000","TROMBUDO CENTRAL","SC","Brasil","47","35440005","-",NA
"7465539","PAC WITMARSUM","RUA 7 DE SETEMBRO, 1955","-","CENTRO","89157-000","WITMARSUM","SC","Brasil","47","33580331","-",NA
"7946451","CONECTA ATIVA","AVENIDA IRMÃOS PICCOLI, 252","-","CENTRO","89642-000","TANGARA","SC","Brasil","49","35322240","-",NA
"7946451","PAC ARROIO TRINTA","RUA OTILIA BARICHELO ZARDO, 40","-","CENTRO","89590-000","ARROIO TRINTA","SC","Brasil","-","-","-",NA
"7946451","PAC ÁGUA DOCE","AVENIDA DA INDEPENDÊNCIA, 541","-","CENTRO","89654-000","AGUA DOCE","SC","Brasil","-","-","-",NA
"7946451","PAC BALSAS","RUA GOMES DE SOUSA, 656","-","CENTRO","65800-000","BALSAS","MA","Brasil","-","-","-",NA
"7946451","PAC CAÇADOR","AVENIDA BARAO DO RIO BRANCO, 135","SALA: 03","CENTRO","89500-016","CACADOR","SC","Brasil","49","991678404","-",NA
"7946451","PAC CATANDUVAS SC","RUA FELIPE SCHMIDT, 1549","SALAS 02, 04","CENTRO","89670-000","CATANDUVAS","SC","Brasil","-","-","-",NA
"7946451","PAC CHAPADÃO DO SUL","AVENIDA QUATRO, 733","-","CENTRO","79560-000","CHAPADAO DO SUL","MS","Brasil","-","-","-",NA
"7946451","PAC COSTA RICA","AVENIDA JOSE FERREIRA DA COSTA, 792","-","CENTRO","79550-000","COSTA RICA","MS","Brasil","49","35322240","-",NA
"7946451","PAC FRAIBURGO","RUA NEREU RAMOS, 633","SALA A1","CENTRO","89580-000","FRAIBURGO","SC","Brasil","49","32461192","-",NA
"7946451","PAC IBIAM","RUA 10 DE MAIO, 45","-","CENTRO","89652-000","IBIAM","SC","Brasil","49","35327644","-",NA
"7946451","PAC IPERATRIZ","AVENIDA DORGIVAL PINHEIRO DE SOUSA, 1694","LOTE 0170 QUADRA 370","ENTROCAMENTO","65903-270","IMPERATRIZ","MA","Brasil","49","35322240","-",NA
"7946451","PAC JOACABA","AVENIDA BARÃO DO RIO BRANCO, 143","SALA 606 ED. PRIME OFFICES","CENTRO","89600-000","JOACABA","SC","Brasil","49","35322240","-",NA
"7946451","PAC JOACABA","RUA TEREZA CRISTINA, 433","-","CENTRO","89420-000","MATOS COSTA","SC","Brasil","49","35322240","-",NA
"7946451","PAC PINHEIRO PRETO","AVENIDA MARECHAL CASTELO BRANCO, 696","SALA 1","CENTRO","89570-000","PINHEIRO PRETO","SC","Brasil","49","35621541","-",NA
"7946451","PAC SALTO VELOSO","AVENIDA PIO XII, 211","-","CENTRO","89595-000","SALTO VELOSO","SC","Brasil","-","-","-",NA
"7946451","PAC SÃO DOMINGOS DO AZEITÃO","AVENIDA MÁRIO BEZERRA","-","CENTRO","65888-000","SAO DOMINGOS DO AZEITAO","MA","Brasil","49","35322240","-",NA
"7946451","PAC SÃO LUIS","AVENIDA MARECHAL CASTELO BRANCO, 8","-","SÃO FRANCISCO","65076-090","SAO LUIS","MA","Brasil","-","-","-",NA
"7946451","PAC TANGARÁ","AV IRMAOS PICCOLI, 252","-","CENTRO","89642-000","TANGARA","SC","Brasil","49","35322240","-",NA
"7946451","PAC TIMON","AVENIDA TERESINA, 380","-","PARQUE PIAUI","65631-205","TIMON","MA","Brasil","49","35322240","-",NA
"7946451","PAC TREZE TILIAS","RUA PEDRO NELCIDO KAFER, 75","-","CENTRO - SEDE","89650-000","TREZE TILIAS","SC","Brasil","49","35510117","-",NA
"7946451","PAC TRÊS LAGOAS","RUA ELMANO SOARES, 454","-","CENTRO","79601-020","TRES LAGOAS","MS","Brasil","49","35322240","-",NA
"7946451","PAC VIDEIRA","RUA ALBERTO ZOLLER, 264","-","ALVORADA","89562-026","VIDEIRA","SC","Brasil","49","35666476","-",NA
"5211129","PAC ALTO BELA VISTA","RUA DO COMERCIO, 848","-","CENTRO","89730-000","ALTO BELA VISTA","SC","Brasil","49","34559338","-",NA
"5211129","PAC CANELA","RUA DONA CARLINDA, 500","SALAS 09 E 10","CENTRO","95680-224","CANELA","RS","Brasil","-","-","-",NA
"5211129","PAC GRAMADO","RUA GARIBALDI, 468","LOJA 01","CENTRO","95670-094","GRAMADO","RS","Brasil","54","33721793","-",NA
"5211129","PAC IGREJINHA","AVENIDA PRESIDENTE CASTELO BRANCO, 546","SALA 01","CENTRO","95650-000","IGREJINHA","RS","Brasil","-","-","-",NA
"5211129","PAC MARCELINO RAMOS","RUA PRACA PADRE BASSO, 167","BLOCO 1 PAVMTO1","CENTRO","99800-000","MARCELINO RAMOS","RS","Brasil","54","33721793","-",NA
"5211129","PAC NOVA HARTZ","RUA JACOB PILGER, 141","SALA 06","CENTRO","93890-000","NOVA HARTZ","RS","Brasil","54","33721793","-",NA
"5211129","PAC PASSO FUNDO","AVENIDA BRASIL LESTE, 272","SALA: 3, 4 E 5","PETRÓPOLIS","99050-144","PASSO FUNDO","RS","Brasil","-","-","-",NA
"5211129","PAC TAQUARA","RUA MARECHAL FLORIANO, 1275","-","CENTRO","95600-110","TAQUARA","RS","Brasil","-","-","-",NA
"5211129","PAC VIADUTOS","RUA LUIZ ALEGRETI, 107","SALA 1","CENTRO","99820-000","VIADUTOS","RS","Brasil","54","33951081","-",NA
"1155801","CONECTA CENTRO SERRA","RUA MATHEUS CONCEIÇÃO, 477","-","BOSQUE","89520-000","CURITIBANOS","SC","Brasil","49","32411564","-",NA
"1155801","PAC ABDON BATISTA","RUA JOSE V. MECABO, 693","-","CENTRO","89636-000","ABDON BATISTA","SC","Brasil","-","-","-",NA
"1155801","PAC ANITA GARIBALDI","RUA OTACILIO GRANZOTTO, 05","-","CENTRO","88590-000","ANITA GARIBALDI","SC","Brasil","-","-","-",NA
"1155801","PAC BRUNÓPOLIS","RUA SELMO HECK, 453","-","CENTRO","89634-000","BRUNOPOLIS","SC","Brasil","-","-","-",NA
"1155801","PAC CAMPO BELO DO SUL","RUA NEREU RAMOS, 128","-","CENTRO","88580-000","CAMPO BELO DO SUL","SC","Brasil","49","32411564","-",NA
"1155801","PAC CAMPOS NOVOS","RUA DANÚZIA BESS, 230","ESQUINA COM A RUA CORONEL PEDRO CARLOS","CENTRO","89620-000","CAMPOS NOVOS","SC","Brasil","-","-","-",NA
"1155801","PAC CELSO RAMOS","RUA DOM DANIEL HOSTIN, 1001","-","CENTRO","88598-000","CELSO RAMOS","SC","Brasil","-","-","-",NA
"1155801","PAC CURITIBANOS","RUA MATHEUS CONCEICAO, 477","-","BOSQUE","89520-000","CURITIBANOS","SC","Brasil","49","32410035","-",NA
"1155801","PAC ERVAL VELHO","RUA PREFEITO AGENOR PIOVESAN, 278","-","CENTRO","89613-000","ERVAL VELHO","SC","Brasil","-","-","-",NA
"1155801","PAC FREI ROGÉRIO","RUA ADOLFO SOLETTI, 375","-","CENTRO","89530-000","FREI ROGERIO","SC","Brasil","-","-","-",NA
"1155801","PAC LEBON REGIS","AVENIDA ARTUR BARTH, 13","-","CENTRO","89515-000","LEBON REGIS","SC","Brasil","-","-","-",NA
"1155801","PAC SANTA CECILIA","RUA NAKAIAMA, 78","-","CENTRO","89540-000","SANTA CECILIA","SC","Brasil","-","-","-",NA
"1155801","PAC SÃO JOSÉ DO CERRITO","RUA JOÃO OTÁVIO GARCIA, 54","-","CENTRO","88570-000","SAO JOSE DO CERRITO","SC","Brasil","49","32411564","-",NA
"2910987","CONECTA CENTRO SUL RS/MS","AVENIDA PRESIDENTE VARGAS, 489","ANDAR 02","CENTRO","99700-022","ERECHIM","RS","Brasil","54","33212000","-",NA
"2910987","PAC BARÃO DE COTEGIPE","AVENIDA ANGELO CALEFFI, 110","SALA 4","CENTRO","99740-000","BARAO DE COTEGIPE","RS","Brasil","54","35232092","-",NA
"2910987","PAC CAMPO GRANDE","AV AFONSO PENA, 1874","-","CENTRO","79002-071","CAMPO GRANDE","MS","Brasil","54","33212000","-",NA
"2910987","PAC CAXIAS DO SUL","RUA SINIMBU, 1010","SALA 01","NOSSA SENHORA DE LOU","95020-000","CAXIAS DO SUL","RS","Brasil","-","-","-",NA
